Name;Timeglobal;Time;Shearstress;Shearrate;Shearstrain;Normalforce;Complexstrain;Frequency;Complexstress;Gprime;Gsecond;Gstar;Torque;Temperature;Gap;Torque (requested)(N m);Angular position (requested)(rad);Angular velocity (requested)(rad/s);Temperature (requested)(Â°C)
Flow Curve Down Reverse;1,312E+003;330,2;0,5523;2,284E-003;-1,56897E+006;0,1258;;;;;;;-9,841E-006;23,01;1,0000;NaN;2,643E+003;-4,944E-004;23,00
Flow Curve Down Reverse;1,322E+003;340,2;0,5396;1,555E-003;-1,56897E+006;0,1257;;;;;;;-9,615E-006;23,01;1,0000;NaN;2,643E+003;-3,369E-004;23,00
Flow Curve Down Reverse;1,332E+003;350,2;0,5295;1,063E-003;-1,56897E+006;0,1269;;;;;;;-9,435E-006;23,01;1,0000;NaN;2,643E+003;-2,295E-004;23,00
Flow Curve Down Reverse;1,342E+003;360,2;0,5265;9,927E-004;-1,56898E+006;0,1277;;;;;;;-9,382E-006;23,01;1,0000;NaN;2,643E+003;-2,131E-004;23,00
Flow Curve Up Forward;1,352E+003;10,00;0,4817;9,900E-004;0,933254;0,1273;;;;;;;-8,583E-006;23,01;1,0000;NaN;2,643E+003;2,130E-004;23,00
Flow Curve Up Forward;1,362E+003;20,01;0,4094;1,422E-003;2,33997;0,1281;;;;;;;-7,295E-006;23,01;1,0000;NaN;2,643E+003;3,127E-004;23,00
Flow Curve Up Forward;1,372E+003;30,01;0,3268;2,101E-003;4,41064;0,1276;;;;;;;-5,824E-006;23,01;1,0000;NaN;2,643E+003;4,590E-004;23,00
Flow Curve Up Forward;1,382E+003;40,02;0,2256;3,097E-003;7,47438;0,1287;;;;;;;-4,019E-006;23,01;1,0000;NaN;2,643E+003;6,737E-004;23,00
Flow Curve Up Forward;1,392E+003;50,02;0,1048;4,587E-003;11,9987;0,1284;;;;;;;-1,867E-006;23,01;1,0000;NaN;2,643E+003;9,889E-004;23,00
Flow Curve Up Forward;1,402E+003;60,02;0,03796;6,190E-003;18,1284;0,1300;;;;;;;6,764E-007;23,00;1,0000;NaN;2,643E+003;1,452E-003;23,00
Flow Curve Up Forward;1,412E+003;70,02;0,2156;0,01005;28,0181;0,1296;;;;;;;3,842E-006;23,01;1,0000;NaN;2,643E+003;2,131E-003;23,00
Flow Curve Up Forward;1,422E+003;80,02;0,3867;0,01473;42,5685;0,1298;;;;;;;6,890E-006;23,01;1,0000;NaN;2,643E+003;3,127E-003;23,00
Flow Curve Up Forward;1,432E+003;90,02;0,5469;0,02166;64,0002;0,1304;;;;;;;9,746E-006;23,01;1,0000;NaN;2,643E+003;4,590E-003;23,00
Flow Curve Up Forward;1,442E+003;100,0;0,6789;0,03167;95,5152;0,1315;;;;;;;1,210E-005;23,00;1,0000;NaN;2,643E+003;6,737E-003;23,00
Flow Curve Up Forward;1,452E+003;110,0;0,7866;0,04643;141,905;0,1308;;;;;;;1,402E-005;23,00;1,0000;NaN;2,643E+003;9,889E-003;23,00
Flow Curve Up Forward;1,462E+003;120,0;0,8838;0,06814;209,930;0,1316;;;;;;;1,575E-005;23,01;1,0000;NaN;2,643E+003;0,01452;23,00
Flow Curve Up Forward;1,472E+003;130,0;0,9784;0,1000;309,809;0,1315;;;;;;;1,743E-005;23,00;1,0000;NaN;2,644E+003;0,02131;23,00
Flow Curve Up Forward;1,482E+003;140,0;1,074;0,1468;456,433;0,1318;;;;;;;1,913E-005;23,00;1,0000;NaN;2,644E+003;0,03127;23,00
Flow Curve Up Forward;1,492E+003;150,1;1,172;0,2154;671,682;0,1316;;;;;;;2,089E-005;23,00;1,0000;NaN;2,644E+003;0,04590;23,00
Flow Curve Up Forward;1,502E+003;160,1;1,279;0,3162;987,471;0,1322;;;;;;;2,280E-005;23,00;1,0000;NaN;2,645E+003;0,06737;23,00
Flow Curve Up Forward;1,512E+003;170,1;1,404;0,4639;1,45118E+003;0,1329;;;;;;;2,501E-005;23,00;1,0000;NaN;2,646E+003;0,09889;23,00
Flow Curve Up Forward;1,522E+003;180,1;1,537;0,6813;2,13192E+003;0,1332;;;;;;;2,739E-005;23,00;1,0000;NaN;2,648E+003;0,1452;23,00
Flow Curve Up Forward;1,532E+003;190,1;1,690;1,000;3,13102E+003;0,1330;;;;;;;3,011E-005;23,00;1,0000;NaN;2,650E+003;0,2130;23,00
Flow Curve Up Forward;1,542E+003;200,1;1,870;1,468;4,59735E+003;0,1330;;;;;;;3,332E-005;23,00;1,0000;NaN;2,653E+003;0,3127;23,00
Flow Curve Up Forward;1,552E+003;210,1;2,075;2,155;6,74814E+003;0,1336;;;;;;;3,698E-005;23,00;1,0000;NaN;2,657E+003;0,4590;23,00
Flow Curve Up Forward;1,562E+003;220,1;2,318;3,162;9,90552E+003;0,1338;;;;;;;4,131E-005;23,00;1,0000;NaN;2,664E+003;0,6737;23,00
Flow Curve Up Forward;1,572E+003;230,1;2,605;4,642;1,45391E+004;0,1343;;;;;;;4,643E-005;23,00;1,0000;NaN;2,674E+003;0,9889;23,00
Flow Curve Up Forward;1,582E+003;240,1;2,944;6,813;2,13452E+004;0,1346;;;;;;;5,247E-005;23,00;1,0000;NaN;2,689E+003;1,451;23,00
Flow Curve Up Forward;1,592E+003;250,1;3,353;10,00;3,13291E+004;0,1350;;;;;;;5,975E-005;23,00;1,0000;NaN;2,710E+003;2,131;23,00
Flow Curve Up Forward;1,602E+003;260,1;3,843;14,68;4,59942E+004;0,1351;;;;;;;6,848E-005;23,00;1,0000;NaN;2,741E+003;3,127;23,00
Flow Curve Up Forward;1,612E+003;270,1;4,443;21,55;6,75042E+004;0,1354;;;;;;;7,917E-005;23,00;1,0000;NaN;2,787E+003;4,590;23,00
Flow Curve Up Forward;1,622E+003;280,1;5,168;31,63;9,91008E+004;0,1356;;;;;;;9,209E-005;23,00;1,0000;NaN;2,854E+003;6,737;23,00
Flow Curve Up Forward;1,632E+003;290,1;6,059;46,42;1,45437E+005;0,1356;;;;;;;1,080E-004;23,01;1,0000;NaN;2,953E+003;9,889;23,00
Flow Curve Up Forward;1,642E+003;300,1;7,171;68,13;2,13505E+005;0,1356;;;;;;;1,278E-004;23,01;1,0000;NaN;3,099E+003;14,52;23,00
Flow Curve Up Forward;1,652E+003;310,1;8,604;100,0;3,13405E+005;0,1354;;;;;;;1,533E-004;23,01;1,0000;NaN;3,312E+003;21,30;23,00
Flow Curve Up Forward;1,662E+003;320,1;10,43;146,8;4,59939E+005;0,1351;;;;;;;1,859E-004;23,01;1,0000;NaN;3,624E+003;31,27;23,00
Flow Curve Up Forward;1,672E+003;330,1;12,89;215,5;6,75018E+005;0,1351;;;;;;;2,297E-004;23,01;1,0000;NaN;4,083E+003;45,90;23,00
Flow Curve Up Forward;1,682E+003;340,1;16,33;316,2;9,90705E+005;0,1331;;;;;;;2,909E-004;23,01;1,0000;NaN;4,757E+003;67,37;23,00
Flow Curve Up Forward;1,692E+003;350,2;21,71;464,2;1,45442E+006;0,1312;;;;;;;3,868E-004;23,01;1,0000;NaN;5,746E+003;98,89;23,00
Flow Curve Up Forward;1,702E+003;360,2;23,16;500,0;1,95425E+006;0,1318;;;;;;;4,126E-004;23,01;1,0000;NaN;6,811E+003;106,5;23,00
Pre Shear Forward (1);1,704E+003;2,000;37,86;498,6;9,75110E+004;0,1315;;;;;;;6,746E-004;23,01;1,0000;NaN;7,026E+003;106,5;23,00
Pre Shear Forward (1);1,706E+003;4,000;23,13;500,0;1,97511E+005;0,1320;;;;;;;4,122E-004;23,01;1,0000;NaN;7,239E+003;106,5;23,00
Pre Shear Forward (1);1,708E+003;6,000;23,13;500,0;2,97518E+005;0,1324;;;;;;;4,121E-004;23,01;1,0000;NaN;7,452E+003;106,5;23,00
Pre Shear Forward (1);1,710E+003;8,000;23,14;500,0;3,97524E+005;0,1318;;;;;;;4,123E-004;23,01;1,0000;NaN;7,665E+003;106,5;23,00
Pre Shear Forward (1);1,712E+003;10,00;23,15;500,0;4,97530E+005;0,1308;;;;;;;4,124E-004;23,01;1,0000;NaN;7,878E+003;106,5;23,00
Pre Shear Forward (1);1,714E+003;12,00;23,13;500,0;5,97536E+005;0,1313;;;;;;;4,122E-004;23,01;1,0000;NaN;8,091E+003;106,5;23,00
Pre Shear Forward (1);1,716E+003;14,00;23,14;500,0;6,97542E+005;0,1305;;;;;;;4,124E-004;23,01;1,0000;NaN;8,304E+003;106,5;23,00
Pre Shear Forward (1);1,718E+003;16,00;23,19;500,0;7,97548E+005;0,1304;;;;;;;4,131E-004;23,01;1,0000;NaN;8,517E+003;106,5;23,00
Pre Shear Forward (1);1,720E+003;18,00;23,20;500,0;8,97554E+005;0,1302;;;;;;;4,134E-004;23,01;1,0000;NaN;8,730E+003;106,5;23,00
Pre Shear Forward (1);1,722E+003;20,00;23,20;500,0;9,97560E+005;0,1302;;;;;;;4,134E-004;23,01;1,0000;NaN;8,943E+003;106,5;23,00
Pre Shear Forward (1);1,724E+003;22,00;23,19;500,0;1,09756E+006;0,1306;;;;;;;4,133E-004;23,01;1,0000;NaN;9,156E+003;106,5;23,00
Pre Shear Forward (1);1,726E+003;24,00;23,18;500,0;1,19757E+006;0,1303;;;;;;;4,131E-004;23,02;1,0000;NaN;9,369E+003;106,5;23,00
Pre Shear Forward (1);1,728E+003;26,00;23,17;500,0;1,29757E+006;0,1309;;;;;;;4,129E-004;23,02;1,0000;NaN;9,582E+003;106,5;23,00
Pre Shear Forward (1);1,730E+003;28,00;23,17;500,0;1,39758E+006;0,1312;;;;;;;4,129E-004;23,02;1,0000;NaN;9,795E+003;106,5;23,00
Pre Shear Forward (1);1,732E+003;30,00;23,14;500,0;1,49759E+006;0,1312;;;;;;;4,123E-004;23,02;1,0000;NaN;1,001E+004;106,5;23,00
Pre Shear Forward (1);1,734E+003;32,00;23,13;500,0;1,59759E+006;0,1304;;;;;;;4,122E-004;23,02;1,0000;NaN;1,022E+004;106,5;23,00
Pre Shear Forward (1);1,736E+003;34,00;23,18;500,0;1,69760E+006;0,1305;;;;;;;4,131E-004;23,02;1,0000;NaN;1,043E+004;106,5;23,00
Pre Shear Forward (1);1,738E+003;36,00;23,19;500,0;1,79760E+006;0,1312;;;;;;;4,133E-004;23,02;1,0000;NaN;1,065E+004;106,5;23,00
Pre Shear Forward (1);1,740E+003;38,00;23,21;500,0;1,89761E+006;0,1327;;;;;;;4,136E-004;23,02;1,0000;NaN;1,086E+004;106,5;23,00
Pre Shear Forward (1);1,742E+003;40,00;23,22;500,0;1,99761E+006;0,1318;;;;;;;4,138E-004;23,02;1,0000;NaN;1,107E+004;106,5;23,00
Pre Shear Forward (1);1,744E+003;42,00;23,21;500,0;2,09762E+006;0,1336;;;;;;;4,136E-004;23,02;1,0000;NaN;1,129E+004;106,5;23,00
Pre Shear Forward (1);1,746E+003;44,00;23,20;500,0;2,19762E+006;0,1356;;;;;;;4,134E-004;23,02;1,0000;NaN;1,150E+004;106,5;23,00
Pre Shear Forward (1);1,748E+003;46,00;23,19;500,0;2,29763E+006;0,1366;;;;;;;4,133E-004;23,02;1,0000;NaN;1,171E+004;106,5;23,00
Pre Shear Forward (1);1,750E+003;48,00;23,16;500,0;2,39764E+006;0,1371;;;;;;;4,127E-004;23,02;1,0000;NaN;1,193E+004;106,5;23,00
Pre Shear Forward (1);1,752E+003;50,00;23,14;500,0;2,49764E+006;0,1378;;;;;;;4,124E-004;23,02;1,0000;NaN;1,214E+004;106,5;23,00
Pre Shear Forward (1);1,754E+003;52,00;23,17;500,0;2,59765E+006;0,1377;;;;;;;4,129E-004;23,02;1,0000;NaN;1,235E+004;106,5;23,00
Pre Shear Forward (1);1,756E+003;54,00;23,18;500,0;2,69765E+006;0,1371;;;;;;;4,130E-004;23,02;1,0000;NaN;1,256E+004;106,5;23,00
Pre Shear Forward (1);1,758E+003;56,00;23,18;500,0;2,79765E+006;0,1361;;;;;;;4,130E-004;23,02;1,0000;NaN;1,278E+004;106,5;23,00
Pre Shear Forward (1);1,760E+003;58,00;23,19;500,0;2,89766E+006;0,1359;;;;;;;4,133E-004;23,02;1,0000;NaN;1,299E+004;106,5;23,00
Pre Shear Forward (1);1,762E+003;60,00;23,20;500,0;2,99767E+006;0,1353;;;;;;;4,134E-004;23,02;1,0000;NaN;1,320E+004;106,5;23,00
Rest Forward (1);1,763E+003;1,000;47,55;441,1;4,23604E+004;0,1385;;;;;;;8,472E-004;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,764E+003;2,000;0,6705;364,4;7,27239E+004;0,1395;;;;;;;1,195E-005;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,765E+003;3,000;0,000;252,0;9,30629E+004;0,1402;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,766E+003;4,000;0,000;162,8;1,05561E+005;0,1414;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,767E+003;5,000;0,000;94,37;1,12183E+005;0,1425;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,768E+003;6,000;0,000;44,66;1,14723E+005;0,1429;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,769E+003;7,000;0,000;12,72;1,14993E+005;0,1423;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,770E+003;8,000;0,000;0,5003;1,14985E+005;0,1420;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,771E+003;9,000;0,000;1,372E-003;1,14985E+005;0,1421;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,772E+003;10,00;0,000;2,180E-004;1,14985E+005;0,1416;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,773E+003;11,00;0,000;5,427E-004;1,14985E+005;0,1419;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,774E+003;12,00;0,000;7,787E-004;1,14985E+005;0,1419;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,775E+003;13,00;0,000;5,049E-004;1,14985E+005;0,1422;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,776E+003;14,00;0,000;3,549E-004;1,14985E+005;0,1425;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,777E+003;15,00;0,000;2,917E-004;1,14985E+005;0,1420;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,778E+003;16,00;0,000;2,496E-004;1,14985E+005;0,1431;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,779E+003;17,00;0,000;2,255E-004;1,14984E+005;0,1426;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,780E+003;18,00;0,000;2,097E-004;1,14984E+005;0,1422;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,781E+003;19,00;0,000;1,021E-004;1,14984E+005;0,1424;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,782E+003;20,00;0,000;1,489E-004;1,14984E+005;0,1420;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,783E+003;21,00;0,000;1,577E-004;1,14984E+005;0,1424;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,784E+003;22,00;0,000;1,186E-004;1,14984E+005;0,1418;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,785E+003;23,00;0,000;1,504E-004;1,14984E+005;0,1426;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,786E+003;24,00;0,000;1,447E-004;1,14984E+005;0,1426;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,787E+003;25,00;0,000;9,628E-005;1,14984E+005;0,1423;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,788E+003;26,00;0,000;1,308E-004;1,14984E+005;0,1429;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,789E+003;27,00;0,000;6,411E-005;1,14984E+005;0,1422;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,790E+003;28,00;0,000;7,317E-005;1,14984E+005;0,1427;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,791E+003;29,00;0,000;9,324E-005;1,14984E+005;0,1431;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Rest Forward (1);1,792E+003;30,00;0,000;5,076E-005;1,14984E+005;0,1432;;;;;;;0,000;23,02;1,0000;0,000;NaN;NaN;23,00
Flow Curve Down Forward (1);1,802E+003;10,00;23,18;500,0;4,95685E+005;0,1371;;;;;;;4,131E-004;23,02;1,0000;NaN;1,451E+004;NaN;23,00
Flow Curve Down Forward (1);1,812E+003;20,01;17,26;340,7;8,37773E+005;0,1405;;;;;;;3,075E-004;23,02;1,0000;NaN;1,523E+004;72,58;23,00
Flow Curve Down Forward (1);1,822E+003;30,02;13,55;232,1;1,07077E+006;0,1417;;;;;;;2,415E-004;23,02;1,0000;NaN;1,573E+004;49,44;23,00
Flow Curve Down Forward (1);1,832E+003;40,02;10,96;158,1;1,22930E+006;0,1423;;;;;;;1,953E-004;23,02;1,0000;NaN;1,607E+004;33,69;23,00
Flow Curve Down Forward (1);1,842E+003;50,03;9,023;107,7;1,33746E+006;0,1435;;;;;;;1,608E-004;23,01;1,0000;NaN;1,630E+004;22,95;23,00
Flow Curve Down Forward (1);1,852E+003;60,03;7,524;73,39;1,41105E+006;0,1439;;;;;;;1,341E-004;23,01;1,0000;NaN;1,645E+004;15,64;23,00
Flow Curve Down Forward (1);1,862E+003;70,03;6,340;50,00;1,46117E+006;0,1445;;;;;;;1,130E-004;23,01;1,0000;NaN;1,656E+004;10,65;23,00
Flow Curve Down Forward (1);1,872E+003;80,03;5,389;34,07;1,49533E+006;0,1460;;;;;;;9,603E-005;23,01;1,0000;NaN;1,663E+004;7,257;23,00
Flow Curve Down Forward (1);1,882E+003;90,04;4,624;23,21;1,51863E+006;0,1452;;;;;;;8,239E-005;23,01;1,0000;NaN;1,668E+004;4,944;23,00
Flow Curve Down Forward (1);1,892E+003;100,0;3,999;15,81;1,53449E+006;0,1453;;;;;;;7,125E-005;23,01;1,0000;NaN;1,672E+004;3,369;23,00
Flow Curve Down Forward (1);1,902E+003;110,0;3,483;10,77;1,54530E+006;0,1460;;;;;;;6,206E-005;23,01;1,0000;NaN;1,674E+004;2,295;23,00
Flow Curve Down Forward (1);1,912E+003;120,1;3,055;7,339;1,55266E+006;0,1469;;;;;;;5,444E-005;23,01;1,0000;NaN;1,675E+004;1,564;23,00
Flow Curve Down Forward (1);1,922E+003;130,0;2,696;5,000;1,55767E+006;0,1468;;;;;;;4,804E-005;23,01;1,0000;NaN;1,676E+004;1,065;23,00
Flow Curve Down Forward (1);1,932E+003;140,0;2,395;3,407;1,56109E+006;0,1470;;;;;;;4,267E-005;23,01;1,0000;NaN;1,677E+004;0,7258;23,00
Flow Curve Down Forward (1);1,942E+003;150,1;2,137;2,321;1,56342E+006;0,1473;;;;;;;3,808E-005;23,00;1,0000;NaN;1,678E+004;0,4944;23,00
Flow Curve Down Forward (1);1,952E+003;160,1;1,917;1,581;1,56501E+006;0,1482;;;;;;;3,416E-005;23,01;1,0000;NaN;1,678E+004;0,3369;23,00
Flow Curve Down Forward (1);1,962E+003;170,1;1,729;1,077;1,56609E+006;0,1486;;;;;;;3,080E-005;23,01;1,0000;NaN;1,678E+004;0,2295;23,00
Flow Curve Down Forward (1);1,972E+003;180,1;1,566;0,7339;1,56683E+006;0,1488;;;;;;;2,791E-005;23,00;1,0000;NaN;1,678E+004;0,1564;23,00
Flow Curve Down Forward (1);1,982E+003;190,1;1,422;0,5000;1,56733E+006;0,1491;;;;;;;2,533E-005;23,01;1,0000;NaN;1,679E+004;0,1065;23,00
Flow Curve Down Forward (1);1,992E+003;200,1;1,292;0,3407;1,56767E+006;0,1499;;;;;;;2,302E-005;23,00;1,0000;NaN;1,679E+004;0,07257;23,00
Flow Curve Down Forward (1);2,002E+003;210,1;1,179;0,2321;1,56790E+006;0,1501;;;;;;;2,100E-005;23,00;1,0000;NaN;1,679E+004;0,04944;23,00
Flow Curve Down Forward (1);2,012E+003;220,1;1,078;0,1581;1,56806E+006;0,1491;;;;;;;1,921E-005;23,01;1,0000;NaN;1,679E+004;0,03369;23,00
Flow Curve Down Forward (1);2,022E+003;230,1;0,9864;0,1077;1,56817E+006;0,1502;;;;;;;1,758E-005;23,00;1,0000;NaN;1,679E+004;0,02295;23,00
Flow Curve Down Forward (1);2,032E+003;240,2;0,9046;0,07339;1,56824E+006;0,1507;;;;;;;1,612E-005;23,00;1,0000;NaN;1,679E+004;0,01564;23,00
Flow Curve Down Forward (1);2,042E+003;250,2;0,8308;0,05000;1,56829E+006;0,1513;;;;;;;1,480E-005;23,00;1,0000;NaN;1,679E+004;0,01065;23,00
Flow Curve Down Forward (1);2,052E+003;260,2;0,7661;0,03407;1,56833E+006;0,1515;;;;;;;1,365E-005;23,00;1,0000;NaN;1,679E+004;7,258E-003;23,00
Flow Curve Down Forward (1);2,062E+003;270,2;0,7109;0,02321;1,56835E+006;0,1511;;;;;;;1,267E-005;23,00;1,0000;NaN;1,679E+004;4,944E-003;23,00
Flow Curve Down Forward (1);2,072E+003;280,2;0,6647;0,01581;1,56837E+006;0,1519;;;;;;;1,184E-005;23,00;1,0000;NaN;1,679E+004;3,369E-003;23,00
Flow Curve Down Forward (1);2,082E+003;290,2;0,6262;0,01078;1,56838E+006;0,1525;;;;;;;1,116E-005;23,00;1,0000;NaN;1,679E+004;2,295E-003;23,00
Flow Curve Down Forward (1);2,092E+003;300,2;0,5955;7,284E-003;1,56838E+006;0,1524;;;;;;;1,061E-005;23,00;1,0000;NaN;1,679E+004;1,564E-003;23,00
Flow Curve Down Forward (1);2,102E+003;310,2;0,5736;4,924E-003;1,56839E+006;0,1528;;;;;;;1,022E-005;23,00;1,0000;NaN;1,679E+004;1,065E-003;23,00
Flow Curve Down Forward (1);2,112E+003;320,2;0,5549;3,365E-003;1,56839E+006;0,1534;;;;;;;9,888E-006;23,00;1,0000;NaN;1,679E+004;7,258E-004;23,00
Flow Curve Down Forward (1);2,122E+003;330,2;0,5391;2,288E-003;1,56840E+006;0,1536;;;;;;;9,607E-006;23,00;1,0000;NaN;1,679E+004;4,944E-004;23,00
Flow Curve Down Forward (1);2,132E+003;340,2;0,5264;1,560E-003;1,56840E+006;0,1544;;;;;;;9,380E-006;23,00;1,0000;NaN;1,679E+004;3,369E-004;23,00
Flow Curve Down Forward (1);2,142E+003;350,2;0,5159;1,060E-003;1,56840E+006;0,1544;;;;;;;9,194E-006;23,00;1,0000;NaN;1,679E+004;2,295E-004;23,00
Flow Curve Down Forward (1);2,152E+003;360,2;0,5132;9,938E-004;1,56840E+006;0,1547;;;;;;;9,144E-006;23,00;1,0000;NaN;1,679E+004;2,131E-004;23,00